"Timestamp","MissionName","MissionId"
"2026-05-17T02:35:32.147Z","Operative Extraction","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:35:33.927Z","Operative Extraction","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:39:14.153Z","Protect Vital Asset","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:44:03.967Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:44:05.851Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:47:15.611Z","~mission(Contractor|SalvageContractorTitle):","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:48:56.935Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:48:57.105Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:48:57.301Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:48:57.451Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:53:04.408Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:53:04.573Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:53:04.732Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T02:53:04.888Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:08:12.687Z","Neutralize UEE Threat: ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:16:57.071Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:16:57.300Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:16:57.434Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:16:57.587Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:16:57.751Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:22:22.268Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:37:29.679Z","Operative Extraction","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:42:56.445Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:42:56.607Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:42:56.737Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:42:56.938Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:44:34.262Z","Terrorist ~mission(TargetName) to be Neutralized","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:44:39.991Z","Neutralize UEE Threat: ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:53:02.744Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T03:58:56.692Z","Operative Extraction","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:05:35.052Z","New Defense Contract: ~mission(TargetName) Elimination","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:10:15.631Z","Neutralize UEE Threat: ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:10:19.855Z","Terrorist ~mission(TargetName) to be Neutralized","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:16:55.953Z","Neutralize UEE Threat: ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:17:19.737Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:23.161Z","Protect Vital Asset","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:24.410Z","Protect Vital Asset","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:24.886Z","Protect Vital Asset","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:43.604Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:43.778Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:43.927Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:44.118Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:44.307Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:44.385Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:19:44.557Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:24:35.769Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:25:58.760Z","Neutralize UEE Threat: ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:14.963Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.095Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.271Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.398Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.588Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.737Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:15.923Z","Preemptive Strike On ~mission(TargetName)","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:34:34.129Z","Terrorist ~mission(TargetName) to be Neutralized","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:41:45.562Z","Patrol Dangerous Sector","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:50:36.801Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T04:50:37.635Z","Low Risk Protection Detail","00000000-0000-0000-0000-000000000000"
"2026-05-17T05:18:01.572Z","Tactical Strike Group Needed","00000000-0000-0000-0000-000000000000"
